_id,INC_IR_NO,INC_IA_NO,INC_DATE,INC_YEAR,INC_TIME,INC_DAY_WEEK,INC_BEAT,HUNDRED_BLOCK,INC_CITY,INC_STATE,INC_ZIPCODE,INC_PRECINCT,CIT_NUMBER,CIT_GENDER,CIT_AGE,SUBJ_AGE_GROUP,CIT_RACE,CIT_ETHNICITY,SIMPLE_SUBJ_RE_GRP,CITIZEN_CHARGE,HIGHEST_SHOW_FORCE,SHOW_FORCE_COUNT
2262,202500000972277,SOF25-1759,2025-07-03 16:00:00,2025,16:00:00,Thursday,414,1XXX West Baseline Road,Phoenix,AZ,85041.0,South Mountain Precinct,67319.0,Male,24.0,20s,Black,Non-Hispanic,Black or African American,Criminal Misdemeanor,Taser,1
2263,202500000973648,SOF25-1760,2025-07-03 19:11:00,2025,19:11:00,Thursday,422,7XX East Alta Vista Road,Phoenix,AZ,85042.0,South Mountain Precinct,67321.0,Male,36.0,30s,Black,Non-Hispanic,Black or African American,No Charge,Gun,1
2264,202500000974720,SOF25-1766,2025-07-03 23:50:00,2025,23:50:00,Thursday,823,4XXX West Weldon Avenue,Phoenix,AZ,85031.0,Maryvale/Estrella Precinct,47058.0,Male,0.0,<20,,,Other,No Charge,Irritants,1
2265,250001042213,SOF25-1774,2025-07-03 06:43:00,2025,06:43:00,Thursday,Maricopa,1XXXX West Morning Glory Street,Goodyear,AZ,85338.0,Out of City,67358.0,,19.0,<20,,,Other,Criminal Felony,Gun,1
2266,202500000971075,SOF25-1775,2025-07-03 17:25:00,2025,17:25:00,Thursday,721,2XXX East Mcdowell Road,Phoenix,AZ,85008.0,Mountain View Precinct,66754.0,,40.0,40s,,,Other,Criminal Felony,Gun,1
2267,202500000971915,SOF25-1790,2025-07-03 13:05:00,2025,13:05:00,Thursday,624,8XXX North 1st Avenue,Phoenix,AZ,85021.0,Cactus Park Precinct,35534.0,Female,45.0,40s,White,Non-Hispanic,White,Criminal Felony,Gun,1
2268,202500000971915,SOF25-1790,2025-07-03 13:05:00,2025,13:05:00,Thursday,624,8XXX North 1st Avenue,Phoenix,AZ,85021.0,Cactus Park Precinct,67396.0,Male,29.0,20s,White,Non-Hispanic,White,No Charge,Gun,1
2269,202500000971915,SOF25-1790,2025-07-03 13:05:00,2025,13:05:00,Thursday,624,8XXX North 1st Avenue,Phoenix,AZ,85021.0,Cactus Park Precinct,67398.0,Female,27.0,20s,White,Non-Hispanic,White,No Charge,Gun,1
2270,202500000973791,SOF25-1808,2025-07-03 19:47:00,2025,19:47:00,Thursday,921,7XXX North 35th Avenue,Phoenix,AZ,85051.0,Maryvale/Estrella Precinct,67458.0,Male,56.0,50s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
2271,202500000969893,SOF25-1823,2025-07-03 01:47:00,2025,01:47:00,Thursday,624,7XX East Hatcher Road,Phoenix,AZ,85020.0,Desert Horizon Precinct,67520.0,Male,35.0,30s,White,Non-Hispanic,White,No Charge,Gun,1
2272,202500000973185,SOF25-1825,2025-07-03 17:21:00,2025,17:21:00,Thursday,622,1XXX East Purdue Avenue,Phoenix,AZ,85020.0,Desert Horizon Precinct,67522.0,Male,23.0,20s,White,Hispanic,White,No Charge,Gun,1
2273,202500000972318,SOF25-1830,2025-07-03 15:47:00,2025,15:47:00,Thursday,224,2XXX West Union Hills Drive,Phoenix,AZ,85027.0,Black Mountain Precinct,67531.0,Male,16.0,<20,White,Hispanic,White,No Charge,Gun,1
2274,202500000972318,SOF25-1830,2025-07-03 15:47:00,2025,15:47:00,Thursday,224,2XXX West Union Hills Drive,Phoenix,AZ,85027.0,Black Mountain Precinct,67535.0,Male,15.0,<20,White,Non-Hispanic,White,No Charge,Gun,1
2275,202500000972318,SOF25-1830,2025-07-03 15:47:00,2025,15:47:00,Thursday,224,2XXX West Union Hills Drive,Phoenix,AZ,85027.0,Black Mountain Precinct,67539.0,Male,15.0,<20,White,Non-Hispanic,White,Criminal Felony,Gun,1
2276,202500000972318,SOF25-1830,2025-07-03 15:47:00,2025,15:47:00,Thursday,224,2XXX West Union Hills Drive,Phoenix,AZ,85027.0,Black Mountain Precinct,67544.0,Male,12.0,<20,White,Non-Hispanic,White,Criminal Felony,Gun,1
2277,202500000972318,SOF25-1830,2025-07-03 15:47:00,2025,15:47:00,Thursday,224,2XXX West Union Hills Drive,Phoenix,AZ,85027.0,Black Mountain Precinct,67547.0,Female,62.0,60s,White,Non-Hispanic,White,No Charge,Gun,1
2278,202500000974772,SOF25-1744,2025-07-04 00:12:00,2025,00:12:00,Friday,932,1XXXX North Black Canyon Highway,Phoenix,AZ,85053.0,Cactus Park Precinct,22216.0,Male,0.0,<20,White,Non-Hispanic,White,No Charge,Gun,1
2279,202500000977858,SOF25-1745,2025-07-04 20:34:00,2025,20:34:00,Friday,934,2XXXX North 39th Avenue,Glendale,AZ,85310.0,Cactus Park Precinct,67283.0,Female,37.0,30s,White,Non-Hispanic,White,Criminal Felony,Gun,1
2280,202500000977086,SOF25-1746,2025-07-04 14:57:00,2025,14:57:00,Friday,933,3XXX West Angela Drive,Phoenix,AZ,85053.0,Cactus Park Precinct,67284.0,Male,57.0,50s,White,Non-Hispanic,White,No Charge,Gun,1
2281,202500000980246,SOF25-1749,2025-07-04 23:45:00,2025,23:45:00,Friday,232,1XXXX North 29th Street,Phoenix,AZ,85032.0,Black Mountain Precinct,67297.0,Male,21.0,20s,White,Hispanic,White,No Charge,Impact Munitions,1
2282,202500000973762,SOF25-1761,2025-07-04 19:38:00,2025,19:38:00,Friday,412,3XXX West Van Buren Street,Phoenix,AZ,85009.0,South Mountain Precinct,67323.0,Male,44.0,40s,White,Hispanic,White,Criminal Felony,Gun,1
2283,202500000976933,SOF25-1763,2025-07-04 13:31:00,2025,13:31:00,Friday,821,1XXX North 67th Avenue,Phoenix,AZ,85035.0,Maryvale/Estrella Precinct,46375.0,Male,41.0,40s,White,Non-Hispanic,White,Criminal Felony,Gun,1
2284,202500000974952,SOF25-1764,2025-07-04 01:27:00,2025,01:27:00,Friday,411,6XX West Mohave Street,Phoenix,AZ,85007.0,South Mountain Precinct,67337.0,Male,25.0,20s,White,Hispanic,White,Traffic Criminal,Gun,1
2285,202500000974952,SOF25-1764,2025-07-04 01:27:00,2025,01:27:00,Friday,411,6XX West Mohave Street,Phoenix,AZ,85007.0,South Mountain Precinct,67340.0,Female,28.0,20s,White,Hispanic,White,No Charge,Gun,1
2286,202500000978218,SOF25-1767,2025-07-04 19:33:00,2025,19:33:00,Friday,431,3XXX East Superior Avenue,Phoenix,AZ,85040.0,South Mountain Precinct,67342.0,Male,43.0,40s,White,Hispanic,White,No Charge,Gun,1
2287,202500000980275,SOF25-1768,2025-07-04 23:37:00,2025,23:37:00,Friday,814,6XXX West Indian School Road,Phoenix,AZ,85031.0,Maryvale/Estrella Precinct,67344.0,Male,27.0,20s,,,Other,Criminal Felony,Gun,1
2288,202500000976927,SOF25-1828,2025-07-04 14:32:00,2025,14:32:00,Friday,614,1XXX West Montebello Avenue,Phoenix,AZ,85017.0,Desert Horizon Precinct,67526.0,Male,33.0,30s,White,Hispanic,White,No Charge,Impact Munitions,1
2289,202500000870540,SOF25-1832,2025-07-04 19:40:00,2025,19:40:00,Friday,625,2XXX West Northern Avenue,Phoenix,AZ,85301.0,Desert Horizon Precinct,67553.0,,36.0,30s,,,Other,Criminal Felony,Gun,1
2290,202500000975202,SOF25-1840,2025-07-04 05:02:00,2025,05:02:00,Friday,714,3XXX North 47th Place,Phoenix,AZ,85018.0,Mountain View Precinct,67569.0,Male,28.0,20s,White,Non-Hispanic,White,Criminal Felony,Gun,1
2291,202500000977854,SOF25-1873,2025-07-04 17:40:00,2025,17:40:00,Friday,623,8XXX North 21st Drive,Phoenix,AZ,85021.0,Desert Horizon Precinct,67664.0,Male,19.0,<20,White,Hispanic,White,No Charge,Gun,1
2292,202500000976300,SOF25-1924,2025-07-04 10:37:00,2025,10:37:00,Friday,726,5XXX East Van Buren Street,Phoenix,AZ,85008.0,Mountain View Precinct,67798.0,Male,43.0,40s,White,Non-Hispanic,White,Criminal Misdemeanor,Gun,1
2293,202500000977916,SOF25-1950,2025-07-04 18:55:00,2025,18:55:00,Friday,933,3XXX West Campo Bello Drive,Phoenix,AZ,85053.0,Cactus Park Precinct,67894.0,Male,26.0,20s,,,Other,No Charge,Gun,1
2294,202500000982936,SOF25-1751,2025-07-05 13:49:00,2025,13:49:00,Saturday,932,3XXX West Lisbon Court,Phoenix,AZ,85053.0,Cactus Park Precinct,67299.0,Male,60.0,60s,White,Non-Hispanic,White,Criminal Misdemeanor,Gun,1
2295,202500000984400,SOF25-1769,2025-07-05 19:47:00,2025,19:47:00,Saturday,224,1XXXX North 23rd Avenue,Phoenix,AZ,85027.0,Black Mountain Precinct,67346.0,Male,38.0,30s,Black,,Black or African American,No Charge,Gun,1
2296,202500000984628,SOF25-1777,2025-07-05 21:20:00,2025,21:20:00,Saturday,915,2XXX West Keim Drive,Phoenix,AZ,85015.0,Desert Horizon Precinct,67363.0,,32.0,30s,,,Other,Criminal Felony,Gun,1
2297,202500000981294,SOF25-1788,2025-07-05 03:45:00,2025,03:45:00,Saturday,413,3XXX West Broadway Road,Phoenix,AZ,85041.0,South Mountain Precinct,67392.0,Male,22.0,20s,Black,Non-Hispanic,Black or African American,Criminal Felony,Gun,1
2298,202500000965147,SOF25-1789,2025-07-05 09:00:00,2025,09:00:00,Saturday,412,2XXX West Buckeye Road,Phoenix,AZ,85009.0,South Mountain Precinct,67394.0,Male,43.0,40s,White,Non-Hispanic,White,Criminal Misdemeanor,Gun,1
2299,202500000983567,SOF25-1791,2025-07-05 16:10:00,2025,16:10:00,Saturday,413,2XXX West La Salle Street,Phoenix,AZ,85041.0,South Mountain Precinct,67400.0,Male,46.0,40s,White,Hispanic,White,No Charge,Gun,1
2300,202500000981182,SOF25-1841,2025-07-05 02:56:00,2025,02:56:00,Saturday,734,3XXX North Black Canyon Highway,Phoenix,AZ,85015.0,Mountain View Precinct,67571.0,Male,24.0,20s,White,Hispanic,White,No Charge,Gun,1
